source,title,url,date,author,preview,matched_keywords,category
AGC News,Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains,https://www.agc.org/news/2021/09/02/construction-workforce-shortages-reach-pre-pandemic-levels-even-coronavirus,"Thu, 02 Sep 2021 13:42:31 +0000",macrina.wilkins@agc.org,"Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains Thu, 09/02/2021 - 05:45 macrina.wilkin… Thu, 09/02/2021 - 9:42 am Eighty-Nine Percent of Contractors Are Having a Hard Time Finding Craft Workers, While 88 Percent of Firms Are Experiencing Project Delays and 93 Percent Are Affected by Rising Materials Prices Construc","bid, craft worker, digital, shortage, software, training program, workforce, workforce develop",
AGC News,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains",https://www.agc.org/news/2021/09/01/construction-spending-posts-small-increase-july-coronavirus-soaring-costs-and-supply,"Wed, 01 Sep 2021 16:27:51 +0000",sophia.valentino@agc.org,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains Wed, 09/01/2021 - 08:30 sophia.valenti… Wed, 09/01/2021 - 12:27 pm Construction Officials Note Spending Figures Foreshadow New Data the Association is Releasing Tomorrow Shoring the Ongoing Impacts of the Coronavirus on the Construction Workforce and Demand Tot","workforce, workforce develop",
ConstructConnect Blog,What AI Still Gets Wrong About Preconstruction,https://www.constructconnect.com/blog/what-ai-still-gets-wrong-about-preconstruction,"Mon, 31 Aug 2026 12:38:11 GMT",Maila Kim,"This Q&A is a companion to AI in Preconstruction: Why Rewiring Matters More Than Speed , where Gaurav Singal makes the case for getting the foundation right before chasing AI speed.",preconstruction,Construction AI Technology
ConstructConnect Blog,The Specification Data That Should Drive Your 2027 Plan,https://www.constructconnect.com/blog/the-specification-data-that-should-drive-your-2027-plan,"Fri, 28 Aug 2026 15:47:10 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: The Specification Positioning dashboard in ConstructConnect® Analytics shows building product manufacturers (BPMs) exactly where their products are being specified, which architects are driving activity, and where competitors are winning ground. Specification share is the upstream metric for market position: by the time specification decisions surface in bids, the window to influence the","ConstructConnect, bid, estimat",Commercial Construction Data
ConstructConnect Blog,Bid Pipeline Health: 5 Metrics for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-pipeline-health-commercial-gcs-in-2026,"Fri, 28 Aug 2026 13:00:02 GMT",Maila Kim,In short :,bid,The Preconstruction Playbook
ConstructConnect Blog,Are AI Takeoffs Accurate in 2026? What Estimators Gain and Still Need to Review,https://www.constructconnect.com/blog/are-ai-takeoffs-accurate-in-2026,"Tue, 18 Aug 2026 13:30:02 GMT",Maila Kim,In short:,"AI takeoff, estimat, takeoff",The Preconstruction Playbook
ConstructConnect Blog,AI in Preconstruction: Why Rewiring Matters More Than Speed,https://www.constructconnect.com/blog/why-rewiring-matters-more-than-speed,"Mon, 17 Aug 2026 15:50:18 GMT",Maila Kim,"This article is adapted from “ Most Companies Have AI Tools, But Many Don’t Rewire Themselves for AI, ” originally published in Forbes by Gaurav Singal, Chief Technology Officer at ConstructConnect®.","ConstructConnect, preconstruction",Construction AI Technology
ConstructConnect Blog,Which U.S. Construction Sectors Are Growing Fastest in 2026 — and Where a Full Backlog Hides Risk,https://www.constructconnect.com/blog/which-u.s.-construction-sectors-are-growing-fastest-in-2026-and-where-a-full-backlog-hides-risk,"Fri, 14 Aug 2026 13:57:48 GMT",Daniel Behrendt,"In short: Data centers, power infrastructure, and healthcare lead U.S. construction sector growth in 2026: These three sectors are attracting the strongest contractor demand, with data centers posting a net +57% contractor confidence reading, the highest of any sector tracked in the AGC 2026 Hiring and Business Outlook . The South holds the most active planning pipeline: Over 56% of near-term cons","backlog, data center",The Preconstruction Playbook
ConstructConnect Blog,How Contractors Find Early-Stage Projects with ConstructConnect®,https://www.constructconnect.com/blog/how-contractors-find-early-stage-projects-with-constructconnect,"Thu, 13 Aug 2026 19:50:58 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: Early-stage project discovery means finding commercial construction projects at the conceptual or design phases, often 12-24 months before a bid is issued. Contractors who find projects at the planning stage can compete on fit and relationship rather than solely on price. Specialty contractors can use early project data to get on GC bid lists before the invitation list is even built. Con","ConstructConnect, bid",Construction Bidding
ConstructConnect Blog,What Good Bid-Hit Ratios Look Like for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-hit-ratio-commercial-gcs-2026,"Wed, 12 Aug 2026 12:29:32 GMT",Maila Kim,In short:,"bid, bid-hit ratio",The Preconstruction Playbook
MCAA News,Last Call: Invest in Your Team with MSCA Education This September,https://www.mcaa.org/invest-in-your-team-with-msca-education-this-september-2/,"Thu, 03 Sep 2026 19:43:15 +0000",Adrienne,"This September, MSCA offers four premier training programs designed to equip your team with practical skills, fresh perspectives, and proven strategies they can put to work immediately. Whether you’re developing field supervisors, sales professionals, dispatchers, or service managers, these programs provide targeted training to help your people grow and your business succeed. Field Service Supervi",training program,Uncategorized
MCAA News,Find the Latest from Jomar Valve and Carrier Corporation in MCAA’s Virtual Trade Show,https://www.mcaa.org/find-the-latest-from-jomar-valve-and-carrier-corporation-in-mcaas-virtual-trade-show/,"Thu, 03 Sep 2026 17:12:19 +0000",Adrienne,"MCAA’s Virtual Trade Show connects our contractor members with the members of MCAA’s Manufacturer/Supplier Council. Participating companies highlight and link to new products, product lines, services, solutions or web pages of particular interest. Here are just a few of the recent additions: Jomar’s Stainless Steel Ball Valve Lineup Jomar’s stainless steel ball valve lineup is corrosion resistant ",mechanical contractor,Uncategorized
MCAA News,MCAA President Curtis Harbour Highlights Strong MCAA-UA Partnership at UA Convention,https://www.mcaa.org/mcaa-president-curtis-harbour-highlights-strong-mcaa-ua-partnership-at-ua-convention/,"Mon, 31 Aug 2026 16:10:51 +0000",Travis,"SAN DIEGO, CA. — MCAA President Curtis Harbour addressed delegates during a general session of the United Association’s 41st General Convention on August 18, joining labor leaders and industry representatives from around the world at the event, held August 17-21 in San Diego. The convention drew 4,034 delegates and featured remarks from United Association General President Mark McManus, Assistant ","apprentice, data center, piping, training program, workforce, workforce develop",Uncategorized
MCAA News,Institute for Project Management: Register Now for November IPM Classes!,https://www.mcaa.org/institute-for-project-management-register-now-for-november-ipm-classes/,"Mon, 31 Aug 2026 12:00:05 +0000",Adrienne,"Due to the overwhelming popularity of the Institute for Project Management (IPM) program, and thanks to the hard work of our dedicated volunteers, MCAA is excited to announce the addition of IPM courses to our 2026 training calendar. Registration is open now for this additional fall IPM program. Read on to learn more about this exciting opportunity. What stays the same: IPM is designed by mechanic",mechanical contractor,Uncategorized
MCAA News,MCAA Celebrates Bill Bartley’s Semi-Retirement and Years of Industry Leadership,https://www.mcaa.org/mcaa-celebrates-bill-bartleys-semi-retirement-and-years-of-industry-leadership/,"Fri, 28 Aug 2026 20:35:47 +0000",Adrienne,"MCAA extends its heartfelt congratulations and thanks to Bill Bartley on his semi-retirement from the role of Chief Executive Officer at EVAPCO. After 29 years with the company, Bill stepped away from day-to-day leadership on June 30, 2026. He will continue to serve as Chairman of the EVAPCO Board of Directors and remain actively involved with the company. For MCAA members and staff, Bill has long",retire,Uncategorized
MCAA News,Resource Highlight: Asbestos Awareness for the Mechanical Trades Safety Training,https://www.mcaa.org/resource-highlight-asbestos-awareness-for-the-mechanical-trades-safety-training/,"Fri, 28 Aug 2026 14:00:08 +0000",Adrienne,"Harmful asbestos fibers are microscopic, so you can’t see them if they’re airborne, and asbestos-related illnesses don’t show up until 15 to 40 years after exposure, when it’s probably too late to do anything about them. MCAA’s Asbestos Awareness for the Mechanical Trades Safety Training Video & Materials will teach your workers to protect themselves when working around asbestos. They’re just a fe",workforce,Uncategorized
MCAA News,"Connect With the Latest Training from Mueller Industries, Inc. and PipeX Solutions at MCAA.org",https://www.mcaa.org/connect-with-the-latest-training-from-mueller-industries-inc-and-pipex-solutions-at-mcaa-org/,"Thu, 27 Aug 2026 14:00:08 +0000",Adrienne,"The Manufacturer/Supplier Training area of MCAA’s website connects our contractor members with training opportunities available from the members of MCAA’s Manufacturer/Supplier Council. Participating companies highlight and link to new webinars and training opportunities across their product lines, services, solutions or web pages. Here are just a few of the recent additions: Streamline® ACR Coppe",piping,Uncategorized
MCAA News,Find Your Fit: Explore MCAA’s National Committee Opportunities,https://www.mcaa.org/find-your-fit-explore-mcaas-national-committee-opportunities-2/,"Wed, 26 Aug 2026 15:38:11 +0000",Adrienne,"MCAA members looking for ways to become more involved in the association now have an easier path to exploring volunteer leadership opportunities. MCAA’s Committees & Volunteer Opportunities page brings together information about the association’s national committees in one convenient location, helping members learn about committee missions, responsibilities, and areas of focus. A Place for Every I","workforce, workforce develop",Uncategorized
